problem_number,execution_time,variables,clauses,problem_type
1,32,4,10,U
2,29,4,10,S
3,24,4,10,U
4,21,4,10,S
5,24,4,10,S
6,15,4,10,S
7,22,4,10,S
8,24,4,10,U
9,21,4,10,U
10,27,4,10,U
81,63,4,20,U
82,49,4,20,S
83,25,4,20,S
84,26,4,20,S
85,55,4,20,U
86,21,4,20,S
87,67,4,20,U
88,57,4,20,U
89,66,4,20,U
90,40,4,20,S
11,61,8,16,U
12,64,8,16,U
13,37,8,16,S
14,59,8,16,S
15,65,8,16,U
16,81,8,16,U
17,39,8,16,S
18,55,8,16,U
19,47,8,16,S
20,51,8,16,S
161,66,4,40,S
162,113,4,40,U
163,83,4,40,U
164,83,4,40,S
165,52,4,40,S
166,51,4,40,S
167,143,4,40,S
168,45,4,40,S
169,53,4,40,S
170,128,4,40,S
241,68,4,40,S
242,111,4,40,S
243,53,4,40,S
244,60,4,40,S
245,54,4,40,S
246,102,4,40,S
247,67,4,40,S
248,54,4,40,S
249,75,4,40,S
250,55,4,40,S
321,53,4,40,S
322,56,4,40,S
323,56,4,40,S
324,57,4,40,S
325,57,4,40,S
326,61,4,40,S
327,57,4,40,S
328,64,4,40,S
329,72,4,40,S
330,73,4,40,S
21,123,12,24,S
22,118,12,24,S
23,132,12,24,U
24,115,12,24,U
25,113,12,24,S
26,113,12,24,U
27,82,12,24,U
28,134,12,24,S
29,123,12,24,U
30,117,12,24,S
91,81,8,40,S
92,181,8,40,S
93,282,8,40,S
94,187,8,40,U
95,294,8,40,U
96,310,8,40,U
97,238,8,40,U
98,249,8,40,U
99,135,8,40,U
100,238,8,40,U
31,191,16,32,S
32,195,16,32,U
33,187,16,32,S
34,210,16,32,S
35,166,16,32,U
36,255,16,32,S
37,226,16,32,U
38,223,16,32,U
39,216,16,32,S
40,214,16,32,U
171,261,8,80,S
172,334,8,80,S
173,195,8,80,S
174,346,8,80,S
175,461,8,80,S
176,683,8,80,U
177,930,8,80,U
178,165,8,80,S
179,862,8,80,U
180,743,8,80,U
251,406,8,80,S
252,221,8,80,S
253,193,8,80,S
254,216,8,80,S
255,203,8,80,S
256,748,8,80,S
257,245,8,80,S
258,304,8,80,S
259,219,8,80,S
260,220,8,80,S
331,285,8,80,S
332,252,8,80,S
333,278,8,80,S
334,283,8,80,S
335,237,8,80,S
336,205,8,80,S
337,239,8,80,S
338,227,8,80,S
339,245,8,80,S
340,260,8,80,S
41,210,18,36,U
42,180,18,36,U
43,185,18,36,U
44,267,18,36,U
45,267,18,36,U
46,294,18,36,U
47,292,18,36,U
48,256,18,36,S
49,299,18,36,U
50,275,18,36,S
101,880,12,60,U
102,942,12,60,S
103,376,12,60,U
104,205,12,60,S
105,560,12,60,U
106,724,12,60,U
107,967,12,60,U
108,1142,12,60,U
109,324,12,60,S
110,878,12,60,U
51,319,20,40,U
52,303,20,40,U
53,343,20,40,S
54,321,20,40,U
55,308,20,40,U
56,262,20,40,U
57,352,20,40,U
58,273,20,40,S
59,263,20,40,U
60,284,20,40,S
61,402,22,44,S
62,416,22,44,U
63,389,22,44,U
64,301,22,44,U
65,424,22,44,U
66,370,22,44,U
67,454,22,44,U
68,495,22,44,U
69,416,22,44,U
70,331,22,44,U
71,468,24,48,S
72,365,24,48,U
73,392,24,48,U
74,516,24,48,S
75,464,24,48,U
76,549,24,48,U
77,407,24,48,U
78,221,24,48,U
79,445,24,48,U
80,407,24,48,S
111,953,16,80,U
112,345,16,80,S
113,2054,16,80,U
114,2204,16,80,U
115,2237,16,80,U
116,1645,16,80,U
117,1718,16,80,U
118,1247,16,80,U
119,2340,16,80,U
120,1103,16,80,S
181,626,12,120,S
182,2137,12,120,S
183,459,12,120,S
184,3346,12,120,U
185,523,12,120,S
186,513,12,120,S
187,1646,12,120,U
188,2815,12,120,U
189,2837,12,120,U
190,3234,12,120,U
261,557,12,120,S
262,689,12,120,S
263,675,12,120,S
264,594,12,120,S
265,589,12,120,S
266,621,12,120,S
267,722,12,120,S
268,615,12,120,S
269,637,12,120,S
270,805,12,120,S
341,582,12,120,S
342,547,12,120,S
343,594,12,120,S
344,638,12,120,S
345,666,12,120,S
346,656,12,120,S
347,613,12,120,S
348,585,12,120,S
349,530,12,120,S
350,565,12,120,S
121,1559,18,90,U
122,1097,18,90,U
123,1258,18,90,U
124,3149,18,90,U
125,2963,18,90,U
126,1598,18,90,S
127,2057,18,90,S
128,396,18,90,S
129,1698,18,90,U
130,1406,18,90,S
131,740,20,100,S
132,4296,20,100,U
133,1550,20,100,S
134,3283,20,100,U
135,2931,20,100,S
136,3235,20,100,U
137,4492,20,100,U
138,2012,20,100,S
139,2102,20,100,U
140,4926,20,100,U
141,818,22,110,S
142,3297,22,110,S
143,3308,22,110,U
144,2293,22,110,U
145,2743,22,110,U
146,6630,22,110,U
147,4404,22,110,U
148,3553,22,110,U
149,3090,22,110,S
150,709,22,110,S
191,2151,16,160,S
192,10313,16,160,U
193,8248,16,160,U
194,1231,16,160,S
195,5543,16,160,S
